start	end	highlight group	content
0	39	3	-- this uses the cooklang-rs extensions
39	41	none	\n\n
41	43	14	>>
43	44	none	 
44	49	5	emoji
49	50	5	:
50	51	none	 
51	58	11	🌶️
58	59	none	\n
59	61	14	>>
61	62	none	 
62	68	5	source
68	69	5	:
69	70	none	 
70	148	11	https://www.gimmesomeoven.com/best-chicken-enchiladas-ever/print-recipe/59596/
148	149	none	\n
149	151	14	>>
151	152	none	 
152	156	5	tags
156	157	5	:
157	158	none	 
158	175	11	mejicano, picante
175	176	none	\n
176	178	14	>>
178	179	none	 
179	190	5	description
190	191	5	:
191	192	none	 
192	241	11	De las comidas más satisfactorias que he comido.
241	242	none	\n
242	244	14	>>
244	245	none	 
245	246	5	[
246	255	14	duplicate
255	256	5	]
256	257	5	:
257	258	none	 
258	267	11	reference
267	269	none	\n\n
269	271	14	>>
271	272	none	 
272	273	5	[
273	277	14	mode
277	278	5	]
278	279	5	:
279	280	none	 
280	291	11	ingredients
291	293	none	\n\n
293	295	5	- 
295	301	15	@queso
301	302	5	|
302	328	15	mezcla de quesos mejicanos
328	329	5	{
329	330	5	}
330	331	none	\n
331	333	5	- 
333	342	15	@tortilla
342	343	5	|
343	360	15	tortilla de trigo
360	361	5	{
361	363	5	}(
363	369	11	grande
369	370	5	)
370	371	none	\n
371	373	5	- 
373	380	15	@aceite
380	381	5	|
381	399	15	aceite de aguacata
399	400	5	{
400	402	5	}(
402	429	11	Sí, se puede usar de oliva
429	430	5	)
430	432	none	\n\n
432	434	14	>>
434	435	none	 
435	436	5	[
436	440	14	mode
440	441	5	]
441	442	5	:
442	443	none	 
443	450	11	default
450	452	none	\n\n
452	454	15	= 
454	459	5	Salsa
459	461	none	\n\n
461	473	5	Calienta el 
473	480	15	@aceite
480	481	5	{
481	482	9	2
482	483	5	%
483	487	9	tbsp
487	488	5	}
488	489	none	 
489	495	5	en un 
495	509	10	#cazo pequeño
509	510	5	{
510	511	5	}
511	512	none	 
512	519	5	a fuego
519	520	none	\n
520	531	5	medio-alto.
531	533	none	\n\n
533	540	5	Añade 
540	547	15	@harina
547	548	5	{
548	549	9	2
549	550	5	%
550	554	9	tbsp
554	555	5	}
555	556	none	 
556	573	5	y cocina durante 
573	574	5	~
574	575	5	{
575	576	9	1
576	577	5	%
577	580	9	min
580	581	5	}
581	582	none	 
582	614	5	sin parar de remover. Añade el 
614	615	none	\n
615	616	15	@
616	617	14	@
617	631	15	polvo de chile
631	632	5	{
632	633	9	1
633	634	5	/
634	635	9	4
635	636	5	%
636	639	9	cup
639	640	5	}
640	642	5	, 
642	655	15	@polvo de ajo
655	656	5	{
656	657	9	1
657	658	5	/
658	659	9	2
659	660	5	%
660	663	9	tsp
663	664	5	}
664	665	none	 
665	679	15	@comino molido
679	680	5	{
680	681	9	1
681	682	5	/
682	683	9	2
683	684	5	%
684	687	9	tsp
687	688	5	}
688	689	5	,
689	690	none	\n
690	699	15	@orégano
699	700	5	{
700	701	9	1
701	702	5	/
702	703	9	4
703	704	5	%
704	707	9	tsp
707	708	5	}
708	709	none	 
709	735	5	y sigue cocinando durante 
735	736	5	~
736	737	5	{
737	738	9	1
738	739	5	%
739	742	9	min
742	743	5	}
743	744	none	 
744	765	5	sin parar de remover.
765	767	none	\n\n
767	769	12	> 
769	852	5	A mi me gusta más con caldo de verduras, pero caldo de pollo también está bueno.
852	853	15	\n
853	854	none	\n
854	864	5	Agrega el 
864	881	15	@caldo de verdura
881	882	5	{
882	883	9	2
883	884	5	%
884	888	9	cups
888	889	5	}
889	890	none	 
890	934	5	poco a poco removiendo para que no se formen
934	935	none	\n
935	1010	5	grumos. Sigue cocinando hasta que hierva y luego baja el fuego a medio-bajo
1010	1011	none	\n
1011	1036	5	para que reduzca durante 
1036	1037	5	~
1037	1038	5	{
1038	1040	9	10
1040	1041	5	-
1041	1043	9	15
1043	1044	5	%
1044	1047	9	min
1047	1048	5	}
1048	1094	5	, sin cubrir, hasta que haya espesado un poco.
1094	1096	none	\n\n
1096	1103	5	Añade 
1103	1107	15	@sal
1107	1108	none	 
1108	1117	5	al gusto.
1117	1119	none	\n\n
1119	1121	15	= 
1121	1131	5	Enchiladas
1131	1133	none	\n\n
1133	1148	5	Precalienta el 
1148	1154	10	#horno
1154	1155	none	 
1155	1157	5	a 
1157	1160	9	350
1160	1164	9	 ºF
1164	1165	5	.
1165	1167	none	\n\n
1167	1169	12	> 
1169	1248	5	Para mi son muchos chiles, sustituyo la mitad o más por pimiento verde normal.
1248	1249	15	\n
1249	1250	none	\n
1250	1275	5	Pela y corta en dados la 
1275	1283	15	@cebolla
1283	1284	5	{
1284	1285	9	1
1285	1287	5	}(
1287	1295	11	pequeña
1295	1296	5	)
1296	1311	5	. En dados los 
1311	1325	15	@chiles verdes
1325	1326	5	{
1326	1327	9	4
1327	1328	5	%
1328	1330	9	oz
1330	1331	5	}
1331	1332	5	.
1332	1333	none	\n
1333	1355	5	En dados de 1,5 cm la 
1355	1372	15	@pechuga de pollo
1372	1373	5	{
1373	1374	9	1
1374	1375	15	 
1375	1378	9	1/2
1378	1380	5	}(
1380	1401	11	deshuesado y sin piel
1401	1402	5	)
1402	1403	5	.
1403	1405	none	\n\n
1405	1412	5	En una 
1412	1427	10	#sartén grande
1427	1428	5	{
1428	1429	5	}
1429	1440	5	, calienta 
1440	1447	15	@aceite
1447	1448	5	{
1448	1449	9	2
1449	1450	5	%
1450	1454	9	tbsp
1454	1455	5	}
1455	1456	none	 
1456	1463	5	a fuego
1463	1464	none	\n
1464	1486	5	medio-alto. Añade la 
1486	1494	15	@cebolla
1494	1495	none	 
1495	1512	5	y sofrie durante 
1512	1513	5	~
1513	1514	5	{
1514	1515	9	3
1515	1516	5	%
1516	1519	9	min
1519	1520	5	}
1520	1548	5	, moviendo de vez en cuando.
1548	1550	none	\n\n
1550	1561	5	Añade los 
1561	1575	15	@chiles verdes
1575	1576	5	|
1576	1585	15	pimientos
1585	1586	5	{
1586	1587	5	}
1587	1588	none	 
1588	1593	5	y el 
1593	1599	15	@pollo
1599	1608	5	. Añade 
1608	1612	15	@sal
1612	1613	none	 
1613	1615	5	y 
1615	1624	15	@pimienta
1624	1625	none	 
1625	1634	5	al gusto.
1634	1635	none	\n
1635	1651	5	Sofríe durante 
1651	1652	5	~
1652	1653	5	{
1653	1654	9	6
1654	1655	5	-
1655	1656	9	8
1656	1657	5	%
1657	1660	9	min
1660	1661	5	}
1661	1662	none	 
1662	1713	5	o hasta que el pollo se haya cocinado por completo.
1713	1715	none	\n\n
1715	1726	5	Añade las 
1726	1741	15	@judías negras
1741	1742	5	{
1742	1744	9	15
1744	1745	5	%
1745	1747	9	oz
1747	1748	5	}
1748	1749	none	 
1749	1792	5	ya cocidas y mezcla todo. Aparta del fuego.
1792	1794	none	\n\n
1794	1806	5	Engrasa una 
1806	1814	10	#bandeja
1814	1815	5	|
1815	1831	10	bandeja de horno
1831	1832	5	{
1832	1834	9	20
1834	1840	9	x30 cm
1840	1841	5	}
1841	1842	5	.
1842	1844	none	\n\n
1844	1888	5	Prepara una línea de montaje de enchiladas:
1888	1889	none	\n
1889	1898	15	@tortilla
1898	1899	5	{
1899	1900	9	8
1900	1901	5	}
1901	1903	5	, 
1903	1904	15	@
1904	1905	14	&
1905	1906	5	(
1906	1907	15	=
